Pollute,ACT,NSW,NT,QLD,SA,TAS,VIC,WA
"1,1,2-Trichloroethane",0.020798,0.000000,0.115436,0.057381,0.022262,0.066394,0.110993,0.047444
"1,2-Dibromoethane",0.000000,0.000000,0.000000,4.157416,0.000000,0.000000,0.000000,0.000000
"1,2-Dichloroethane",0.011131,0.012245,0.069239,0.038173,0.011915,0.035534,0.059403,0.031345
"1,3-Butadiene (vinyl ethylene)",0.000000,0.476812,0.804536,0.205584,0.002165,237.523742,0.388642,6.613522
2-Ethoxyethanol,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010421,0.000000
Acetaldehyde,0.000000,0.015857,25.695898,148.699853,10.855467,0.001312,0.000000,328.264982
Acetic acid (ethanoic acid),0.000000,6.988607,0.000000,0.033631,1.357337,0.036724,0.140621,0.549550
Acetone,0.414337,8.676394,2.009562,4.060219,0.395125,1.177551,76.100858,374.344041
Acetonitrile,0.054542,0.000000,0.264530,0.227187,0.052013,0.155008,0.254942,0.116038
Acrolein,0.000000,0.003273,0.000000,0.084878,0.001204,0.000000,0.000000,0.031272
Acrylamide,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.054923
Acrylic acid,0.000000,0.001145,0.000000,0.000180,0.000000,0.000000,0.004335,0.957284
Acrylonitrile (2-propenenitrile),0.357621,0.146768,1.734486,1.237673,0.341039,1.016363,2.188916,0.760846
Ammonia (total),0.123398,14365.585454,0.000000,33912.659397,10448.433180,8.556755,3237.406685,13317.727610
Antimony & compounds,0.000000,3.220370,12.000349,2.184857,15.581527,0.192675,0.583964,10.883384
Arsenic & compounds,0.043534,3.706403,176.801783,72.211659,14.501013,19.523056,6.638165,192.380939
Benzene,0.199605,56.409518,636.710182,90.927186,215.495927,3.341638,11.705096,4782.497259
Beryllium & compounds,0.001372,0.405084,4.518165,2.098469,0.278671,0.343466,0.145433,13.333546
"Biphenyl (1,1-biphenyl)",0.000000,0.054193,0.588330,0.086179,0.000000,0.000000,0.000000,0.401142
Boron & compounds,0.000000,269.597247,55.449165,433.441763,4.630666,2.779358,76.786335,203.859513
Cadmium & compounds,0.057249,1.381697,6.375829,4.724309,9.162860,1.324805,0.341937,5.969549
Carbon disulfide,0.011916,0.012003,0.057793,6.608970,2.359741,4.054492,0.055698,0.243843
Carbon monoxide,12064.578344,238451.949022,404153.517612,275393.320829,743962.448664,701832.038976,77491.291429,339167.715290
Chlorine & compounds,7.931736,15.230282,0.000000,11.885802,0.000000,0.000000,1.036250,16.600455
Chlorine dioxide,0.000000,0.235020,0.000000,0.000000,0.000000,0.000000,0.003290,0.000000
Chloroethane (ethyl chloride),0.251457,0.000000,1.400866,0.745012,0.269157,0.802740,1.341971,0.577161
Chloroform (trichloromethane),0.008340,0.002949,0.125342,0.123933,0.008927,0.026625,0.044509,0.073977
"Chlorophenols (di, tri, tetra)",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.271198,0.000000
Chromium (III) compounds,0.178754,21.777306,418.444766,99.059712,30.263976,8.797605,5.091297,1222.400461
Chromium (VI) compounds,0.006854,0.139683,1.766510,0.405221,0.137812,9.864870,0.348446,3.207031
Cobalt & compounds,0.000081,2.979592,86.794395,21.937989,3.717525,3.280927,0.585968,166.460523
Copper & compounds,0.074186,111.664908,126.485241,230.771462,221.794541,14.239194,2.956054,361.997643
Cumene (1-methylethylbenzene),0.055029,2.590877,13.465613,11.645802,8.766661,0.552024,0.700852,39.082797
Cyanide (inorganic) compounds,0.000000,85.690606,310.361292,281.570742,8.753352,15.929726,6.176235,12039.196071
Cyclohexane,0.092679,1.924003,98.864340,122.010785,56.884344,0.310128,10.164348,659.034218
Dibutyl phthalate,0.000000,0.000000,0.000000,0.026958,0.000000,0.000000,0.000000,0.000000
Dichloromethane,0.515421,0.036290,2.860763,1.422039,0.551699,1.645395,2.750673,1.175772
Ethanol,224.119682,403.966639,0.054732,799.748628,1071.643069,54.156953,873.654732,103.024753
Ethyl acetate,0.176375,0.005091,0.855427,0.440219,0.525505,0.501258,113.033667,0.520395
Ethylbenzene,0.549353,2.548493,71.350028,26.623159,64.364598,4.690061,11.774279,559.809266
"Ethylene glycol (1,2-ethanediol)",0.000000,0.001708,1303.254815,0.007979,0.000000,0.000000,3.727625,0.000000
Ethylene oxide,0.000000,0.000997,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Fluoride compounds,11.486973,2141.920443,359.249385,5366.340488,297.045245,3234.604971,673.836951,2398.066298
Formaldehyde (methyl aldehyde),4.442358,467.388579,5985.851200,2358.904997,147.668170,31.628557,100.051233,5923.693509
Glutaraldehyde,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Hydrochloric acid,0.045751,2854.420745,1.031605,8908.992411,871.788728,1462.844686,21728.280819,13143.824377
Hydrogen sulfide,1.161189,36.169907,7569.121240,3.428049,170.830371,3.411514,80.699688,1343.669572
Lead & compounds,0.479487,45.336069,1107.332428,244.803676,421.238397,31.513282,5.479839,217.100434
Magnesium oxide fume,0.457076,1.198281,0.000000,1.509400,9.041974,74.936130,3.185084,0.000000
Manganese & compounds,3.531663,207.063858,221887.942540,1133.405619,461.203245,2305.231637,45.730550,8918.259851
Mercury & compounds,0.083920,0.697183,0.588533,4.490357,2.337573,0.976531,1.350568,10.143510
Methanol,0.000000,17.919835,6.943936,18.355502,123.674042,0.000000,1.110220,323.203279
Methyl ethyl ketone,0.544372,0.046683,2.640228,1.906477,0.519129,1.547103,224.339718,1.158157
Methyl isobutyl ketone,0.199430,17.936487,0.967245,2.794384,0.190182,0.566780,23.819118,0.424289
Methyl methacrylate,0.000000,0.022458,0.000000,0.210887,0.000000,0.000000,0.356387,0.000000
Methylenebis (phenylisocyanate),0.000000,0.000020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
n-Hexane,0.284461,64.440058,4611.277287,231.286306,779.328822,9.868482,100.217097,2627.891576
Nickel & compounds,0.345098,11.417936,113.619628,72.795084,27.649574,13.206605,9.749831,1274.961398
Nickel subsulfide,0.000000,0.001909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Nitric acid,0.000000,20.908764,0.000000,4.269900,0.000871,0.000000,0.004538,6.900113
Organo-tin compounds,0.000000,0.006760,0.000000,0.000000,0.000000,0.000000,0.532062,0.000000
Oxides of Nitrogen,6857.076591,176148.674878,802320.756877,456911.296279,113935.513683,124569.642855,89056.789712,727921.322862
Particulate Matter 10.0 um,3610.740040,145661.150224,1166922.535364,668851.581339,150036.713777,58152.005513,28393.051290,2016674.938909
Particulate Matter 2.5 um,199.033273,4429.802092,33563.733453,20351.388786,5707.664138,8322.005493,3880.712383,29998.412275
Phenol,0.000000,7.774014,0.066622,76.132764,28.578555,0.000000,8.164268,0.034289
Phosphoric acid,0.000000,0.156815,0.000000,0.000028,0.000000,0.000000,0.002105,0.000000
Polychlorinated dioxins and furans (TEQ),0.000001,0.000008,0.000002,0.000019,0.000014,0.000060,0.000018,0.000009
Polycyclic aromatic hydrocarbons (B[a]Peq),0.134759,3.531911,4.535105,7.697170,9.411351,5.837404,1.973685,9.173697
Selenium & compounds,0.000024,0.646563,12.283469,3.116895,13.585526,3.656565,0.317503,14.083501
Styrene (ethenylbenzene),0.045578,0.651358,0.286517,4.636788,0.043464,1.550545,1.047243,0.219062
Sulfur dioxide,1389.470210,196270.658045,505860.349975,864207.776346,64538.777726,151577.735701,138354.421479,326502.377497
Sulfuric acid,0.000000,1257.038239,0.000250,2744.295180,100.701926,324.807429,110.002778,2569.101168
Tetrachloroethylene,0.332150,0.002163,1.843542,0.981227,0.355528,1.060332,1.772589,0.757696
Toluene (methylbenzene),2.893849,45.228376,524.449026,117.001702,211.537483,78.029509,109.482913,8483.818982
"Toluene-2,4-diisocyanate",0.000000,0.000014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Total Volatile Organic Compounds,523.537714,6812.873960,275480.662590,22118.344393,27316.901551,9442.275834,11580.282329,177671.973752
Trichloroethylene,0.107341,0.000000,0.595782,4.191438,0.114897,0.342670,0.572853,0.244866
Vinyl Chloride Monomer,0.087567,0.000000,0.527296,0.249554,0.093731,0.281291,0.467325,0.228445
Xylenes (individual or mixed isomers),1.043316,22.569547,260.976651,114.415538,95.343957,12.645787,103.525258,3950.302922
Zinc and compounds,2.000810,139.189423,1627.302799,602.731220,225.756032,212.102384,15.893894,521.099010
