quantity_in_kg,state,facility_name,site_address_suburb,site_latitude,site_longitude
93413,QLD,Tully Sugar Mill,Tully,-17.936389,145.925833
179.0452944,SA,COOKING PLANT,Dudley Park,-34.883744,138.579112
180.675832,SA,Arnott's Biscuits Limited,Marleston,-34.947778,138.558056
181.1626,SA,Tarac - Berri,Glossop,-34.280686,140.546883
32900,WA,Wagerup Alumina Refinery,Wagerup,-32.916667,115.915278
1413.977,WA,Orange Grove Quarry,Orange Grove,-32.039167,116.023889
170.042,WA,Coca Cola Euro pacific Partners (Aust) P/L,Kewdale,-31.981389,115.95
15219.3,WA,Dardanup Operations,Dardanup,-33.380833,115.7075
780.3532444,VIC,POTTERS INDUSTRIES PTY LTD,Dandenong South,-38.00854,145.208825
177.5109,VIC,Australian Textile Mills,Wangaratta,-36.361906,146.302368
349.4,VIC,Akzo Nobel Pty Limited,Sunshine,-37.770685,144.828274
491.8834495,VIC,Mars Petcare Australia,Wodonga,-36.109549,146.872359
434.73,VIC,Monash Medical Centre (Clayton Campus),Clayton,-37.921063,145.124036
9299.82,VIC,Hallam Rd Landfill,Hampton Park,-38.054942,145.274481
153.78,VIC,CCL Secure,Craigieburn,-37.612294,144.943161
234.892,VIC,Gooding Compressor Station,Moe,-38.130082,146.274799
230.943,VIC,Ararat Abattoir,Ararat,-37.281461,142.918982
72.69378045,VIC,Mulgrave,Mulgrave,-37.92283,145.15575
3794,VIC,Alcoa Portland Aluminium,Portland,-38.376902,141.631055
4565.646,VIC,Ecogen Jeeralang Power Station,Morwell,-38.273494,146.423938
549.748,TAS,Tasmanian Alkaloids Pty. Ltd. Trading as Extractas Bioscience,Westbury,-41.513885,146.831168
587.1739,VIC,St Vincents Hospital Cogeneration Plant,Fitzroy,-37.807743,144.974701
104,NSW,Dux Manufacturing Moss Vale,Moss Vale,-34.526008,150.376552
904.6,NSW,CSR Bradford Insulation,Ingleburn,-34.004625,150.841461
914.3,NSW,Cargill Australia Limited Kooragang Island,Kooragang Island,-32.881001,151.767794
320,NSW,Montoro Lutum Roofing,Bushells Ridge,-33.208266,151.483932
2886.076,SA,Energy Australia Hallett Power Station,Canowie,-33.348217,138.751048
167.95,NSW,Industrial Galvanizers Hexham,Hexham,-32.834177,151.688567
1336,NSW,InfraBuild Sydney Steel Mill,Rooty Hill,-33.76396,150.849675
102.7,SA,OPAL FIBRE PACKAGING,Athol Park,-34.85927,138.538763
1740.4,NSW,Brandy Hill Quarry,Seaham,-32.660353,151.691031
457.78,NSW,MARS Australia Pty Ltd,Bathurst,-33.426912,149.642568
1666.12,NSW,Integra Underground Coal Mine,Singleton,-32.464946,151.130575
721.032,NSW,Yambinya Station Burraboi,Burraboi,-35.328653,144.267786
18602.04,NSW,Wirrimbi Cold Store,Macksville,-30.674694,152.926222
3537.29,NSW,Queanbeyan Quarry,Queanbeyan,-35.401793,149.218158
2690.1,NSW,Clarence Colliery,Clarence,-33.46076,150.244533
72.9123,SA,Angaston Extrusion Plant,Angaston,-34.505,139.023611
