Pollute,Quantity_in_kg
"1,1,2-Trichloroethane",130.666495
"1,2-Dibromoethane",2239.41
"1,2-Dichloroethane",85.92756608
"1,3-Butadiene (vinyl ethylene)",16262.2935
2-Ethoxyethanol,7
Acetaldehyde,175809.1465
Acetic acid (ethanoic acid),6284.047359
Acetone,166795.5128
Acetonitrile,354.1153418
Acrolein,57.5063758
Acrylamide,15.57
Acrylic acid,275.3329705
Acrylonitrile (2-propenenitrile),2654.711988
Ammonia (total),37985190.14
Antimony & compounds,10484.02552
Arsenic & compounds,109176.8705
Benzene,1514918.84
Beryllium & compounds,5526.519428
"Biphenyl (1,1-biphenyl)",219.6256103
Boron & compounds,567621.0731
Cadmium & compounds,7527.415144
Carbon disulfide,4343.809149
Carbon monoxide,680718623.9
Chlorine & compounds,24732.5913
Chlorine dioxide,196.06
Chloroethane (ethyl chloride),1608.567605
Chloroform (trichloromethane),126.757447
"Chlorophenols (di, tri, tetra)",2869.14056
Chromium (III) compounds,437862.7335
Chromium (VI) compounds,2111.633103
Cobalt & compounds,64909.63321
Copper & compounds,365735.9218
Cumene (1-methylethylbenzene),21942.48053
Cyanide (inorganic) compounds,3649791.99
Cyclohexane,273915.4624
Dibutyl phthalate,14.5213
Dichloromethane,3268.158822
Ethanol,1590253.148
Ethyl acetate,76473.06253
Ethylbenzene,196955.6394
"Ethylene glycol (1,2-ethanediol)",35263.10686
Ethylene oxide,0.822651873
Fluoride compounds,6039103.4
Formaldehyde (methyl aldehyde),3582219.791
Glutaraldehyde,0
Hydrochloric acid,25719027.8
Hydrogen sulfide,688644.3352
Lead & compounds,341478.7742
Magnesium oxide fume,9913.303466
Manganese & compounds,9133582.905
Mercury & compounds,7280.354309
Methanol,139918.6483
Methyl ethyl ketone,152367.4018
Methyl isobutyl ketone,32521.11557
Methyl methacrylate,371.5192198
Methylenebis (phenylisocyanate),0.0161
n-Hexane,1249581.98
Nickel & compounds,425319.5644
Nickel subsulfide,1.575
Nitric acid,21505.38158
Organo-tin compounds,362.983807
Oxides of Nitrogen,706121156.2
Particulate Matter 10.0 um,1131571506
Particulate Matter 2.5 um,28104374.82
Phenol,58163.98652
Phosphoric acid,130.77415
Polychlorinated dioxins and furans (TEQ),0.037388382
Polycyclic aromatic hydrocarbons (B[a]Peq),13168.10994
Selenium & compounds,9430.355553
Styrene (ethenylbenzene),3906.534052
Sulfur dioxide,846202656.5
Sulfuric acid,3354355.509
Tetrachloroethylene,2123.489059
Toluene (methylbenzene),2635558.565
"Toluene-2,4-diisocyanate",0.011781
Total Volatile Organic Compounds,88183978.88
Trichloroethylene,2772.602773
Vinyl Chloride Monomer,563.7139176
Xylenes (individual or mixed isomers),1294490.187
Zinc and compounds,692456.1436
